name,lat,lon,pop
"Duluth, MN-WI Metro Area",46.7867,-92.1005,281815
"Durham-Chapel Hill, NC Metro Area",35.994,-78.8986,620522
"Eagle Pass, TX Metro Area",28.7091,-100.4995,58829
"Eau Claire, WI Metro Area",44.8113,-91.4985,176153
"El Centro, CA Metro Area",32.792,-115.5631,181724
"Elizabethtown, KY Metro Area",37.6937,-85.8591,127954
"Elkhart-Goshen, IN Metro Area",41.682,-85.9766,207436
"Elmira, NY Metro Area",42.0898,-76.8077,81115
"El Paso, TX Metro Area",31.7619,-106.485,879392
"Enid, OK Metro Area",36.3956,-97.8784,62007
"Erie, PA Metro Area",42.1292,-80.0851,267750
"Eugene-Springfield, OR Metro Area",44.0521,-123.0868,382396
"Evansville, IN Metro Area",37.9716,-87.5711,271793
"Fairbanks-College, AK Metro Area",64.8378,-147.7164,94951
"Fargo, ND-MN Metro Area",46.8772,-96.7898,267793
"Farmington, NM Metro Area",36.7281,-108.2087,120817
"Fayetteville, NC Metro Area",35.0527,-78.8784,393812
"Fayetteville-Springdale-Rogers, AR Metro Area",36.0626,-94.1574,605615
"Flagstaff, AZ Metro Area",35.1983,-111.6513,145161
"Flint, MI Metro Area",43.0125,-83.6875,402279
"Florence, SC Metro Area",34.1954,-79.7626,200474
"Florence-Muscle Shoals, AL Metro Area",34.7998,-87.6773,156287
"Fond du Lac, WI Metro Area",43.773,-88.447,104269
"Fort Collins-Loveland, CO Metro Area",40.5853,-105.0844,374574
"Fort Smith, AR-OK Metro Area",35.3859,-94.3985,232848
"Fort Wayne, IN Metro Area",41.1306,-85.1289,462978
"Fresno, CA Metro Area",36.7468,-119.7726,1189557
"Gadsden, AL Metro Area",34.0143,-86.0066,103207
"Gainesville, FL Metro Area",29.6516,-82.3248,359780
"Gainesville, GA Metro Area",34.2979,-83.8241,221745
"Gettysburg, PA Metro Area",39.8309,-77.2311,107914
"Glens Falls, NY Metro Area",43.3095,-73.644,125127
"Goldsboro, NC Metro Area",35.3849,-77.9927,120338
"Grand Forks, ND-MN Metro Area",47.9253,-97.0329,104184
"Grand Island, NE Metro Area",40.9264,-98.342,77278
"Grand Junction, CO Metro Area",39.0639,-108.5506,161260
"Grand Rapids-Wyoming-Kentwood, MI Metro Area",42.9634,-85.6681,1178826
"Grants Pass, OR Metro Area",42.439,-123.3284,88276
"Great Falls, MT Metro Area",47.5002,-111.3008,84523
"Greeley, CO Metro Area",40.4233,-104.7091,369745
"Green Bay, WI Metro Area",44.5133,-88.0133,334697
"Greensboro-High Point, NC Metro Area",36.0726,-79.792,800722
"Greenville, NC Metro Area",35.6127,-77.3663,180783
"Greenville-Anderson-Greer, SC Metro Area",34.8526,-82.394,996680
"Gulfport-Biloxi, MS Metro Area",30.3674,-89.0928,426793
"Hagerstown-Martinsburg, MD-WV Metro Area",39.6418,-77.7199,311295
"Hammond, LA Metro Area",30.5044,-90.4612,139823
"Hanford-Corcoran, CA Metro Area",36.3274,-119.6457,154913
"Harrisburg-Carlisle, PA Metro Area",40.2732,-76.8867,615361
"Harrisonburg, VA Metro Area",38.4496,-78.8689,138838
"Hartford-West Hartford-East Hartford, CT Metro Area",41.7658,-72.6851,1169048
"Hattiesburg, MS Metro Area",31.3271,-89.2903,156575
"Helena, MT Metro Area",46.5958,-112.027,96735
"Hickory-Lenoir-Morganton, NC Metro Area",35.7332,-81.3412,373031
"Hilton Head Island-Bluffton-Port Royal, SC Metro Area",32.2163,-80.7526,237393
"Hinesville, GA Metro Area",31.8468,-81.596,89046
"Homosassa Springs, FL Metro Area",28.7878,-82.5754,170174
"Hot Springs, AR Metro Area",34.5037,-93.0552,99902
"Houma-Bayou Cane-Thibodaux, LA Metro Area",29.5958,-90.7195,199206
"Houston-Pasadena-The Woodlands, TX Metro Area",29.7604,-95.3698,7796182
"Huntington-Ashland, WV-KY-OH Metro Area",38.4193,-82.4452,366920
"Huntsville, AL Metro Area",34.7304,-86.5861,542297
"Idaho Falls, ID Metro Area",43.4917,-112.0339,171233
"Indianapolis-Carmel-Greenwood, IN Metro Area",39.7684,-86.1581,2174833
"Iowa City, IA Metro Area",41.6611,-91.5302,182711
"Ithaca, NY Metro Area",42.444,-76.5021,105602
"Jackson, MI Metro Area",42.2459,-84.4013,160233
"Jackson, MS Metro Area",32.2988,-90.1848,606178
"Jackson, TN Metro Area",35.6145,-88.8139,183680
"Jacksonville, FL Metro Area",30.3322,-81.6557,1760548
"Jacksonville, NC Metro Area",34.754,-77.4302,212954
"Janesville-Beloit, WI Metro Area",42.6828,-89.0187,165461
"Jefferson City, MO Metro Area",38.5767,-92.1735,151523
"Johnson City, TN Metro Area",36.3134,-82.3535,214948
"Johnstown, PA Metro Area",40.3267,-78.922,130108
"Jonesboro, AR Metro Area",35.8423,-90.7043,138152
"Joplin, MO-KS Metro Area",37.0842,-94.5133,207131
"Kahului-Wailuku, HI Metro Area",20.8893,-156.4729,163769
"Kalamazoo-Portage, MI Metro Area",42.2917,-85.5872,264780
"Kankakee, IL Metro Area",41.12,-87.8611,106410
"Kansas City, MO-KS Metro Area",39.0997,-94.5786,2253579
"Kennewick-Richland, WA Metro Area",46.2113,-119.1372,319428
"Kenosha, WI Metro Area",42.5847,-87.8212,168754
"Killeen-Temple, TX Metro Area",31.1171,-97.7278,509487
"Kingsport-Bristol, TN-VA Metro Area",36.5484,-82.5618,313876
"Kingston, NY Metro Area",41.927,-73.9974,182977
"Kiryas Joel-Poughkeepsie-Newburgh, NY Metro Area",41.7004,-74.0104,711730
"Knoxville, TN Metro Area",35.9606,-83.9207,957608
"Kokomo, IN Metro Area",40.4864,-86.1336,84082
"La Crosse-Onalaska, WI-MN Metro Area",43.8014,-91.2396,170763
"Lafayette, LA Metro Area",30.2241,-92.0198,419704
"Lafayette-West Lafayette, IN Metro Area",40.4167,-86.8753,229701
"Lake Charles, LA Metro Area",30.2266,-93.2174,242975
"Lake Havasu City-Kingman, AZ Metro Area",34.4839,-114.3225,226479
"Lakeland-Winter Haven, FL Metro Area",28.0395,-81.9498,852878
"Lancaster, PA Metro Area",40.0379,-76.3055,563293
"Lansing-East Lansing, MI Metro Area",42.7325,-84.5555,479971
"Laredo, TX Metro Area",27.5064,-99.5075,272823
"Las Cruces, NM Metro Area",32.3199,-106.7637,229366
"Las Vegas-Henderson-North Las Vegas, NV Metro Area",36.1699,-115.1398,2398871
"Lawrence, KS Metro Area",38.9717,-95.2353,121989
"Lawton, OK Metro Area",34.6036,-98.3959,126899
"Lebanon, PA Metro Area",40.3409,-76.4113,145319
"Lewiston, ID-WA Metro Area",46.4165,-117.0177,65370
"Lewiston-Auburn, ME Metro Area",44.1003,-70.2148,115272
